사과,52,14,0.3,0.2,150
바나나,89,22.8,1.1,0.3,120
닭가슴살,165,0,31,3.6,100
삶은계란,155,1.1,13,11,60
두부,76,1.9,8.1,4.2,80
오이,16,3.6,0.7,0.1,100
방울토마토,18,3.9,0.9,0.2,20
고구마,86,20.1,1.6,0.1,130
현미밥,111,23,2.3,0.9,210
귀리,389,66.3,16.9,6.9,40
그릭요거트(무가당),59,3.6,10,0.4,100
저지방우유,50,5,3.5,1.5,200
아몬드,579,21.6,21.2,49.9,1
호두,654,13.7,15.2,65.2,1
브로콜리,34,6.6,2.8,0.4,50
시금치,23,3.6,2.9,0.3,50
양배추,25,5.8,1.3,0.1,100
연어(구운),206,0,22,13,120
참치(물에 담근 통조림),116,0,26,1,150
김치,18,3.6,1.1,0.5,30
도시락김,500,10,30,35,5
김치볶음밥,180,25,5,6,250
계란후라이,196,1,13,15,65
닭죽,70,11,4,1,200
콩나물,30,5.1,3,0.2,100
삶은 브로콜리,35,7,2.4,0.4,60
고등어(구운),210,0,20,14,130
양배추쌈,24,5,1.2,0.1,15
청경채,13,2.2,1.5,0.1,30
단호박,45,10.9,1.2,0.1,100
토마토,18,3.9,0.9,0.2,180
당근,41,10,0.9,0.2,61
감자,77,17.5,2,0.1,100
양파,40,9.3,1.1,0.1,100
마늘,149,33,6.4,0.5,100
호박,26,6,1,0.1,100
옥수수,86,19,3.2,1.2,100
파프리카,31,6,1,0.3,100
피망,20,4.6,0.9,0.2,100
가지,25,5.9,1,0.2,100
렌틸콩,116,20,9,0.4,100
병아리콩,164,27,9,3,100
검은콩,341,30,24,15,100
팥,127,26,9,0.5,100
완두콩,81,14,5,0.4,100
밤,131,28,3.2,1,100
감귤,53,13,0.8,0.3,100
딸기,32,7.7,0.7,0.3,100
블루베리,57,14,0.7,0.3,100
라즈베리,52,12,1.2,0.7,100
사과주스,46,11,0.1,0.1,240
포도,69,18,0.7,0.2,100
수박,30,8,0.6,0.2,100
멜론,34,8,0.8,0.2,100
파인애플,50,13,0.5,0.1,100
복숭아,39,10,0.9,0.25,100
자두,46,12,0.7,0.3,100
체리,50,12,1,0.3,100
키위,61,15,1.1,0.5,100
망고,60,15,0.8,0.4,100
바질,23,2.7,3.2,0.6,10
파슬리,36,6,3,0.8,30
고추,40,9,1.9,0.4,100
고춧가루,282,54,12,14,100
된장,198,12,12,6,100
간장,53,4.9,8,0,100
설탕,387,100,0,0,100
소금,0,0,0,0,1
후추,251,64,10,3,100
생강,80,18,1.8,0.8,100
계피,247,81,4,1.2,100
커피,2,0,0.3,0,100
녹차,1,0,0,0,100
홍차,1,0,0,0,100
우유,42,5,3.4,1,100
치즈,402,1.3,25,33,100
요거트,59,3.6,10,0.4,100
버터,717,0.1,0.9,81,100
마요네즈,680,0.6,1,75,100
케첩,112,25,1.3,0.1,100
머스타드,66,5,3.5,4,100
빵,265,49,9,3.2,100
크래커,502,66,8,20,100
초콜릿,546,61,4.9,31,100
아이스크림,207,24,3.5,11,100
햄버거,295,33,17,10,100
피자,266,33,11,10,100
스파게티,131,25,5,1.1,100
라면,436,60,10,18,100
김밥,180,28,5,4,150
떡볶이,290,50,5,3,150
순대,150,20,8,7,100
만두,200,30,8,8,100
라이스페이퍼,349,74,7,1,100
쌀국수,109,21,2,0,100
우동,130,27,3,0.4,100
냉면,330,72,8,1,100
콩국수,150,20,8,7,100
돈까스,270,25,15,14,150
치킨,239,10,27,14,100
샐러리,22.0,21.0,23.0,213.0,231
오트밀,230.0,21.0,4.0,6.0,12
저당베이글,170.0,38.0,10.0,4.0,100
